,Unnamed: 0,주제,제목,내용
319,54,경찰,[1804422] 경찰관직무집행법 일부개정법률안(박은수의원등 11인) 입법예고중,"제안이유
  ‘장애’는 인간의 보편적이고, 자연스러운 현상의 하나이며, 하나의 작은 ‘차이’에 불과하다는 인식에 따라 장애인에 대한 차별을 금지하고, 장애인의 인권과 권익을 증진하기 위해 2007년 4월에 “장애인차별금지 및 권리구제 등에 관한 법률”(이하 장차법)이 제정되어 2008년 4월부터 본격 시행되고 있음. 
  장차법은 미국(ADA - 장애인차별금지법 : American with Disability Act), 호주, 영국, 스웨덴, 노르웨이, 홍콩 등 전 세계 인권선진국 20여 개국에서 제정된 법률로, 법률의 제정 여부가 인권선진국이냐 아니냐를 가름하는 시금석으로 여겨지고 있음. 
  그러나, 장차법 제정으로 인해 우리나라가 장애인 인권 선진국의 기틀을 마련했음에도 불구하고, 아직도 장차법과 상충되는 현행 법률이 100개 가까이에 이르고 있어 시급히 개정이 요구되고 있음. 
 이에 따라 주요 장애인 단체와 협의를 거쳐 장차법과 상충하는 법령을 일괄적으로 정비하고자 하는 취지에서 동 법률개정안을 발의하게 된 것임. 


주요내용
  경찰관의 보호조치 대상과 관련한 현 규정에 정신착란을 약물중독으로 수정함(안 제4조제1항제1호)."
320,55,경찰,[1804378] 경찰대학설치법 일부개정법률안(이상민의원등 11인) 입법예고중,"제안이유 및 주요내용
  현행 「경찰대학설치법」제10조는 경찰대학을 졸업하고 경찰공무원으로 임용된 자에게 6년간 경찰에 복무할 의무를 부여하고, 파면 또는 해임처분을 받거나 대통령령이 정하는 사유 없이 의무복무를 이행하지 아니한 때에는 경찰대학의 학비, 그 밖의 모든 비용의 전부 또는 일부를 상환하도록 하고 있음.
  그러나 대통령령에 위임하고 있는 의무복무의 대상자가 학비 및 비용을 상환하지 않아도 되는 사유는 그에 해당하지 아니하는 대상자에게는 학비 및 비용을 상환하도록 하는 경제적 불이익을 주는 사항이므로 법률에서 규정하려는 것임."
321,56,경찰,[1803286] 전투경찰대설치법 일부개정법률안(이상민의원등 12인) 입법예고중,"제안이유 및 주요내용 
  「전투경찰대설치법 시행령」 제34조에서는 휴직·정직·영창 및 직위해제·복무이탈기간을 전환복무기간 즉 복무기간에 산입하지 않고 있음. 전환복무한 전투경찰의 복무기간은 전투경찰에게는 병역의무에 따른 군복무기간과 동일한 성격을 가지는 것으로서, 복무기간의 불산입은 국민의 권리제한에 관한 사항이기에 법률에 규정하여야 함에도 시행령에서 규정하고 있음. 
  「병역법」제18조에서는 현역병의 복무기간을 규정하고 영창처분을 받은 경우나 복무를 이탈한 경우 등에는 그 기간은 복무기간에 산입하지 않고 있으며, 「병역법」제23조 및 제30조에서도 상근예비역 및 공익근무요원의 복무기간에 대하여 동일한 취지의 규정을 두고 있음.
  따라서, 전투경찰의 복무기간 계산에 관한 규정을 법률에서 정하려는 것임(안 제2조의4 신설)."
322,57,경찰,[1803233] 전투경찰대설치법 일부개정법률안(이상민의원등 11인) 입법예고중,"제안이유 및 주요내용
  「전투경찰대설치법 시행령」 제3조는 전투경찰순경의 계급을 구분하고 「병역법」에 따라 전환복무하는 전투경찰순경의 초임계급은 이경으로 하고 있음. 전투경찰순경의 계급은 전투경찰조직의 위계질서에 관한 근본 사항임. 
  군인의 경우도 병의 계급을 「군인사법」에 규정하고 있으며, 전투경찰순경이 군복무를 대신하여 복무하는 것을 고려한다면 전투경찰순경의 계급을 대통령령이 아니라 법률에 규정하는 것이 바람직함(안 제2조의4 신설)."
323,58,경찰,[1803162] 경찰공무원법 일부개정법률안(정갑윤의원등 11인) 입법예고중,"■ 제안이유 

  징계종류 중 정직과 해임 사이에 강등이 신설되는 바, 현재 정직이상의 징계처분은 임용권자의 임용사항으로 이에 따른 임용권자 및 징계절차를 추가·보완하고, 아울러 계급정년(치안감 4년, 경무관 6년, 총경 11년, 경정 14년)이 적용되는 경찰공무원이 강등된 경우 오히려 계급정년이 연장되거나, 경정이 경감으로 강등된 경우에는 계급정년이 없어져 연령정년까지 근무기간이 연장되는 경우가 발생하는 등 실질적인 인사상 혜택이 부여되는 미비점을 개선하려는 것임.


■ 주요내용 

  가. 경무관 이상의 경찰공무원이 강등된 경우에는 대통령이, 총경 이하의 경찰공무원이 강등된 경우에는 경찰청장 또는 해양경찰청장이 임용하도록 함(안 제6조, 제27조).
  나. 징계로 인하여 강등된 경찰공무원은 강등 이전의 계급정년을 그대로 유지하고, 계급정년을 산정함에 있어 강등 이전 계급의 근무연수와 강등된 이후의 근무연수를 합산하는 근거규정을 신설함(안 제24조).


■ 위원회 수정사항 

  □ 수정이유 및 수정주요내용 

  개정안의 시행일(2009. 4. 1)이 이미 도과하였으므로 수정이 필요한 바,「국가공무원법」강등규정이 이미 시행되고 있다는 점을 고려하여 공포한 날부터 시행하도록 함."
324,59,경찰,[1803101] 경찰관직무집행법 일부개정법률안(이인기의원등 12인) 입법예고중,"-  -제안이유
  경찰관직무집행법은 경찰작용의 기본법으로서 그 중요성에도 불구하고 1953년 일본 경찰관직무집행법을 모방하여 제정된 태생적 한계로 인해 변화된 사회환경을 반영하지 못하고 있다는 지적을 받아왔음.
  특히, 최근 불특정 다수의 사람이 이용하는 시설이나 장소에 대한  재난·테러·사고 등이 증가하고 있는 상황에서 경찰관이 이를 예방하기 위해 해당시설 출입자에 대해 질문 및 출입통제를 하거나, 범죄혐의자에 대한 신원확인이 불가능한 경우 최소한의 신원확인을 할 수 있는 명확한 법적 근거가 없는 문제점을 시급히 개선할 필요가 있음.
-  - 또한, 그간 학계로부터 입법의 필요성이 끊임없이 제기된 경찰권   발동에 대한 근거와 대상, 그 한계를 법령에 보다 명확히 규정하여  정당한 법집행을 뒷받침함과 동시에 무분별한 경찰권 행사의 남용을 통제할 필요가 있음."
325,60,경찰,[1803090] 경찰공무원법 일부개정법률안(이윤석의원등 12인) 입법예고중,"■ 제안이유 
현행 경찰 승진제도 중 해당계급에서 일정기간 재직한 경우 경장·경사·경위로 근속승진을 할 수 있으나 경감 이상은 근속승진 규정이 없음.
이와 같은 경찰 승진제도에 있어서 조직 내 사기 저하 및 과도한 승진경쟁으로 인하여 조직 결속력이 저해되고 승진 비리 등 경찰조직의 발전을 저해하는 문제점이 발생하고 있음.
따라서 장기 근속자에 대한 업무능력과 경험을 인정하여 경찰의 근속승진대상 범위를 확대함으로써 경찰 개개인의 직무충실도를 높이고 경찰 조직의 일체감 및 효율성 증대를 통하여 국민에 대한 공공서비스의 질을 높이려는 것임.

■ 주요내용 
해당 계급에서 일정기간 재직한 자에 대한 근속승진임용 대상을 현재 경장·경사·경위에서 경감까지로 범위를 확대함(안 제11조의2)."
326,61,경찰,[1802923] 경찰관직무집행법 일부개정법률안(주광덕의원등 11인) 입법예고중,"■ 제안이유 
최근 불법집회 및 시위를 벌인 혐의로 경찰서 유치장에 입감된 여성피의자에 대한 신체 수색 및 안전조치와 관련한 인권침해 논란이 제기되어 왔음.
인간의 존엄성과 신체의 자유는 헌법상 보장된 기본권으로서 이를 제한하기 위해서는 법률에 의하여야 함에도, 현행 법률 상에는 유치장의 설치근거만 규정되어 있을 뿐이고 피의자 유치와 관련된 인권 제한 사항 등은 경찰청 훈령 규정에 따라 집행되고 있는 실정임.
따라서 유치인의 인권을 보호하고 유치장내의 안전을 도모하기 위하여 피의자 유치 시 절차와 운영에 관한 법률적 근거를 명시하려는 것임.

■ 주요내용 
가. 유치장 내의 안전과 질서 유지를 위하여 유치인의 신체·의복·소지품 및 유치실을 검사할 수 있고, 생명·신체에 위해를 초래할 수 있는 위험한 물건의 제출을 요구할 수 있도록 함(안 제9조제2항 신설).
나. 유치인의 신체 등을 검사하는 경우에는 고통이나 수치심을 느끼지 않도록 주의하여야 하며, 다른 사람이 볼 수 없는 장소에서 같은 성(性)의 경찰관이 실시하도록 함(안 제9조제3항 신설).
다. 유치인에 대한 신체 등의 검사 및 제출요구 등을 통하여 발견된 위험한 물건과 유치인의 소지품은 출감하기 전까지 임시 보관할 수 있도록 함(안 제9조제4항 신설).
라. 경찰관은 유치인의 안전 및 질서유지를 위하여 필요하다고 인정되는 상당한 이유가 있을 때에는 필요한 한도 내에서 수갑·포승 등을 사용하거나 강제력을 행사할 수 있도록 함(안 제9조제5항 신설).
마. 제2항부터 제5항까지에 따른 신체등의 검사, 위험한 물건의 범위, 소지품의 보관, 장구의 사용 등에 필요한 사항은 대통령령으로 정하도록 함(안 제9조제6항 신설)."
327,62,경찰,[1802908] 경찰공제회법 일부개정법률안(임동규의원등 15인) 입법예고중,"■ 제안이유 및 주요내용 

  경찰공제회는 경찰공무원에 대한 효율적인 공제제도를 확립·운영함으로써 이들에 대한 생활안정과 복리증진을 위하여 설립된 공익법인으로써 회원부담금, 국가 보조금 등으로 운영되는 기관으로서, 공제회 재정의 투명성·건전성을 강화하여 전체 회원의 이익증진과 공제회의 효율적인 운영을 위하여 회계와 업무집행사항에 대한 공제회의 감사 권한을 보다 강화시키는 것이 바람직함.

  따라서 감사가 감사의 결과 부정이나 불비한 사항이 있는 것을 발견한 때에는 대의원회에 보고하고, 감사원에 회계검사 또는 직무감찰을 요청할 수 있도록 하려는 것임(안 제11조 및 제14조)."
328,63,경찰,[1802070] 경찰관직무집행법 일부개정법률안(이성헌의원등 11인) 입법예고중,"제안이유
현행 불심검문은 범죄의 예방과 진압 등을 위한 경찰 활동의 가장 기본적 수단으로 경찰관이 범죄혐의자를 발견할 경우 질문이나 동행을 요구하기 위해 명확히 경찰관임을 알 수 있는 제복을 입고 있음에도 증표를 제시해야 하는 절차의 불필요한 중복으로 인하여 직무수행의 어려움을 겪고 있어 이에 대한 개선이 필요하고, 신원 확인절차에 대한 명확한 근거를 둘 필요성이 있음.
따라서 불심검문 시 제복을 착용한 경찰관의 증표 제시 절차를 생략할 수 있게 하고 경찰관의 직무집행 시 신원을 확인할 수 있는 근거를 명확히 하는 등 현행 절차를 실효성 있게 하려는 것임.


주요내용
  가. 불심검문시 경찰관이 제복근무를 하는 경우에는 경찰 신분을 표시하는 증표 제시 절차를 생략할 수 있도록 함(안 제3조제4항 후단 신설).
  나. 경찰관은 불심검문시 신원확인을 위하여 상대방에 대해 신분증명서 제시를 요구할 수 있게 하고, 신분이 확인되지 않고 범죄의 혐의가 있다고 인정되는 상당한 이유가 있을 때에 한정하여 인근 경찰관서에서 신원이나 거주 관계를 밝힐 것을 요구할 수 있도록 함. 또한 경찰관의 신원확인을 거부하거나 신원확인이 불가능한 경우에 연고자의 연락처 확인이나 지문의 동일성 여부를 확인할 수 있도록 함(안 제3조의2 신설)."
329,64,경찰,[1801857] 경찰관직무집행법 일부개정법률안(원유철의원등 20인) 입법예고중,"제안이유
  현재 경찰관의 위법한 직무집행으로 타인에게 손해를 끼친 경우에는 국가배상법 및 민법에 따라 손해배상 청구가 가능하나, 경찰관의 적법한 공무집행으로 재산·생명·신체에 특별한 손실을 입은 경우에는 보상하는 규정이 없음.
  이런 입법의 불비로 인해 경찰관의 적법한 공무집행에 따른 손실을 입은 국민이 보상을 요구해도 마땅한 보상방안이 없을 뿐만아니라 심지어 경찰관이 적법한 공무집행을 하고도 민원·진정을 당할 경우 사비(私費)를 들여 손실을 보상해 주는 등 경찰관의 안정적인 법집행에도 미흡함.
  반면, 소방기본법, 전염병예방법, 도로법 등에는 손실보상 규정을 두고 있는 바, 향후 국민의 권익을 보호하고 경찰권 행사의 적정성을 도모하기 위해 손실보상 규정을 도입하고자 함.


주요내용
  가. 적법한 직무집행으로 인해 경찰상 책임이 없는 자의 생명·신체, 재산상 손실을 입은 경우에 정당한 보상을 하도록 함(안 제12조제1항제1호).
  나. 경찰관의 직무수행에 자발적으로 협조하거나 물건을 제공함으로 인하여 생명·신체 또는 재산상 손실을 입은 경우 정당한 보상을 하도록 함(안 제12조제1항제2호).
  다. 적법한 직무집행으로 인해 경찰상 책임이 있는 자의 생명·신체에 대한 책임한도를 초과하는 손실에 대하여도 정당한 보상을 하도록 함(안 제12조제1항제3호).
  라. 손실보상의 청구기간은 손실이 있음을 안 날로부터 3년, 보상  사유가 발생한 날로부터 10년 내에 청구하도록 하는 시효를 둠(안 제12조제2항).
  마. 손실보상의 판단기준, 보상금액, 지급절차에 관한 사항은 대통령령으로 정하도록 함(안 제12조제3항)."
330,65,경찰,[1801768] 사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안(성윤환의원등 15인) 입법예고중,"제안이유 및 주요내용
  우리 헌법은 국민에 대한 체포·구속·압수 또는 수색을 할 때에는 적법한 절차에 따라 검사의 신청에 의하여 법관이 발부한 영장을 제시하도록 하고, 누구든지 자신에게 불리한 진술을 강요당하지 않도록 규정하여 국가권력으로부터 국민의 기본적 인권과 신체의 자유를 보장할 것을 명백히 하고 있음.
  그러나 현행 공직선거법 및 정치자금법에 따르면, 각급 선거관리위원회 위원·직원은 선거 범죄 또는 정치자금 범죄의 혐의가 있다고 인정되는 때에는 영장 없이 강제수사를 하는 등 초헌법적인 권한을 부여하고, 헌법상 진술거부권을 부정하고 피조사자의 진술을 강요하는 등의 규정을 두고 있어 헌법위반의 소지가 매우 높아 시정이 절실함. 
  따라서 각급 선거관리위원회 소속 공무원에게 「공직선거법」 및 「정치자금법」에 규정된 범죄에 관하여 사법경찰권을 부여함으로써 범죄단속의 실효성을 높이는 한편, 선거관리위원회의 선거범죄 및 정치자금범죄 조사에서 헌법상 법치국가의 원리 내지 적법절차의 원리를 구현하려는 것임."
331,66,경찰,[1800748] 경찰관직무집행법 일부개정법률안(권경석의원등 12인) 입법예고중,"■ 제안이유 

  경찰청 주취자 처리 현황에 따르면 단순주취자는 약 48.1%, 주취소란자는 약 45.4%이며, 주취자에 대한 통고처분, 즉심청구, 형사입건 하는 비율은 약 16%에 불과하여 대부분은 훈방하거나 경찰관서 일시보호하고 있음. 

  현재 지구대의 주취자 처리는 전체업무의 26.6%를 차지하고 있어 경찰력 낭비와 공권력 무시 풍조가 확산되고 국민의 불안감을 가중시키고 있음.

  현행법상 보호조치 대상 주취자에 대해 보건의료기관 또는 공공구호기관에 긴급구호를 요청하거나 경찰관서에 보호하도록 되어 있으나 보건의료기관 및 공공구호기관의 범위가 특정되지 않아 원활한 업무협조가 이루어지지 않고 있으며 거부 시 제재수단이 미비함.

  긴급구호기관의 보호조치 거부 시 의학적 전문지식이 없는 경찰관이 지구대의 소파 등에 임시 대기시킬 수밖에 없고, 이 경우 응급상황 발생 시 신속하고 효과적인 대응이 곤란함.

  또한 지구대 등 경찰관서에서 계속해서 주취소란행위를 하거나 범죄에 이르지 않을 정도의 소란을 피울 경우 효과적으로 제지하거나 격리할 수 있는 방법이 없어 공권력 무력화를 초래하고 있음.

  따라서 이와 같은 행위에 대하여 실효적으로 대처하기 위하여 명백한 조치 규정을 마련하려는 것임.


■ 주요내용 

  가. 경찰관은 정신착란으로 인하여 자기 또는 타인의 생명·신체나 재산에 위해를 가하려는 자 또는 자살을 기도하는 자에 대하여 응급 구호를 요할 경우 공공보건의료기관 또는 공공구호기관에 긴급구호를 요청하거나 경찰관서에서 보호하도록 하는 등 적당한 조치를 할 수 있도록 하였음(안 제4조제1항제1호).

  나. 술에 취하여 대통령령으로 정하는 절차에 따라 경찰관이 경고하였음에도 불구하고 자기 또는 타인의 생명·신체나 재산에 위해를 가하려는 행위를 계속하는 자에 대하여 응급 구호를 요할 경우 공공보건의료기관 또는 공공구호기관에 긴급구호를 요청하거나 경찰관서에서 보호하도록 하는 등 적당한 조치를 할 수 있도록 하였음(안 제4조제1항제2호 신설).

  다. 보호조치를 하는 경우 신원확인 및 연고자 발견, 위험물 수거를 위하여 피구호자의 소지품을 검사할 수 있도록 하였음(안 제4조제5항).

  라. 피구호자의 연고자가 발견되지 않는 경우에는 지문채취, 사진촬영, 신체·복장의 특징파악 등 필요한 자료를 확보하고 연고자 발견을 위한 조치를 하도록 하였음(안 제4조제6항).

  마. 피구호자 연고자 발견을 위해 보관한 자료는 그 목적 외에는 사용할 수 없고, 연고자를 발견하여 피보호자를 인계할 때에는 지체 없이 보관한 자료를 폐기하도록 하였음(안 제4조제7항 신설).

  바. “보건의료기관 및 공공보건의료기관”이란 「보건의료기본법」  제3조에서 규정하는 기관이며, “공공구호기관”이란 국가·지방자치단체가 설립·운영하는 아동보호소·부녀보호소·갱생원·양로원· 고아원 등으로 정의하여 긴급구호를 거부할 수 없는 기관의 범위를 특정하였음(안 제4조제9항 신설).

  사. 생명과 신체 등의 보호법익을 침해하는 범죄는 한번 발생하면 피해회복이 불가능하므로 예방과 제지가 중요하기에 범죄의 예방과 제지요건 중 “목전에”를 삭제하였음(안 제6조제1항).

  아. 공공장소·공공건물·대중교통수단 내에서 술 취한 상태로 소란 및 난동을 부리는 자에 대해서는 경고, 제지, 격리의 순으로 대응하여 공공의 평온과 안전을 확보할 법적 근거를 마련하였음(안 제6조제2항 및 제3항 신설)."
332,67,경찰,[1800592] 경찰관직무집행법 일부개정법률안(황영철의원등 19인) 입법예고중,"■ 제안이유

  「경찰관직무집행법」 에서는 수상한 거동 기타 주위의 사정을 합리적으로 판단하여 정신착란, 술취한 자, 자살을 기도하는 자에 대해 긴급구호를 요청하거나 경찰관서에서 보호하는 등의 적당한 조치를 하도록 하고 있음.

  한편 보호조치가 신체의 자유를 침해하는 성질이 있다는 점을 감안하여 임의적 보호조치 대상자를 따로 두고 있음. 

  현행 규정에 따르면 미아는 임의적 보호조치 대상자로 포함되어 있는데, 미아의 경우 단순히 “싫다”라는 의사표시를 진지하고 명백한 보호조치거절의 의사표시로 보기가 어려우므로 미아에 대한 보호조치를 강화하고자 함. 


■ 주요내용

  가. 미아를 임의적 보호조치 대상자로 규정하고 있는데, 미아의 단순히 “싫다”라는 의사표시를 진지하고 명백한 보호조치거절의 의사표시로 보기가 어려우므로 미아에 대해서도 적당한 보호조치를 하도록 하고자 함(안 제4조제1항제3호 및 제4호).

  나. 미아라는 용어를 실종아동으로 수정하고자 함(안 제4조제1항제3호)."
333,68,경찰,[1800281] 경찰관직무집행법 일부개정법률안(강창일의원등 13인) 입법예고중,"제안이유
  경찰청은 지난 2005년 「인권보호를 위한 경찰관 직무규칙」을 훈령으로 제정하여, 경찰관 직무 수행 과정에서 「헌법」이 보장하고 있는 국민의 기본적 인권을 존중하도록 하고 있음에도 위법행위에 대한 진압을 이유로 필요 최소한의 조치를 넘어서 여전히 과잉진압과 폭력을 행사하고 있음.
  특히 최근 자신의 생명을 지키기 위한 국민의 저항권이 행사되고 있는 평화적인 촛불집회에 대해 무리한 법 적용을 통해 불법행위로 규정하고, 집회 시위 참가자를 해산·진압·강제연행하는 과정에서 필요 이상의 과잉폭력을 사용하는 사례가 늘고 있으며, 가진 것이라곤 촛불과 도덕성뿐이어서 저항할 수 없는 상태에 있는 국민에 대해서 까지도 폭력을 행사함으로써, 국민의 생명과 재산을 보호하여야 할 국가 공권력이 오히려 국민의 생명을 침해하는 일이 발생하였음.
  이에 전투경찰을 포함한 경찰관이 직무를 수행함에 있어서 「헌법」과 국제법 등이 보장하고 있는 기본적 인권을 준수할 것을 법률에서 명확히 규정하고자 함.


주요내용
  가. 법 적용범위를 국가경찰공무원 뿐만 아니라 자치경찰공무원 및 전투경찰순경에 까지 확대함(안 제1조).
  나. 경찰관이 직무수행 모든 과정에서 준수하여야 할 인권보호에 관한 사항을 신설함(안 제2조의2 신설).
  다. 경찰관이 직무수행과 관련하여 대통령령으로 정하는 경찰장비 이외의 불법적인 장비를 사용할 수 없도록 규정함(안 제10조제4항 신설).
  라. 폭력을 유발할 수 있는 최루제 또는 최루탄 사용을 금지함(제10조의3 삭제).
  마. 이 법에 규정된 의무를 위반하거나 남용한 경우에도 처벌할 수 있도록 함(안 제12조)."
334,69,경찰,[1800280] 전투경찰대설치법 일부개정법률안(강창일의원등 14인) 입법예고중,"제안이유
  전투경찰은 대간첩작전을 위주로 한다는 명분 때문에 ‘전투’경찰이라는 이름을 사용하고 있는 것이지 최근 평화적인 집회 시위 참여자에 대한 과잉폭력을 행사하는 것은 국민을 상대로 전투를 벌이는 경찰이라는 부정적인 이미지를 줄 뿐 아니라 전투경찰대 존재이유를 근본적으로 부정하는 것임. 
  특히 최근 가진 것이라곤 촛불과 도덕성뿐이어서 저항할 수 없는 상태에 있는 국민에 대해서 까지도 무자비하게 밟고 방패로 내리 찍는 등 폭력을 행사하는 것은 치안업무 보조라는 목적에 위배되며, 국민의 생명과 재산을 보호하여야 할 국가 공권력이 오히려 국민의 생명을 침해하는 일이 늘어나고 있음.
  이에 전투경찰의 임무를 대간첩 작전에 국한하고 치안업무 보조 임무를 제거함으로써 국민을 상대로 하는 ‘전투’를 중지하도록 하고, 전투경찰은 집회·시위 진압 최일선에 설 수 없도록 하여 공권력에 의한 폭력 유발 행위 및 집회 시위 과격화 원인을 원천적으로 없애고자 함.


주요내용
  가. 전투경찰 임무를 대간첩작전에 국한시킴(안 제1조제1항).
  나. 치안업무의 보조임무는 삭제함(제2조의3제2항 및 제3조제2항 삭제)"
335,70,경찰,[1800127] 경찰공무원법 일부개정법률안(서병수의원등 13인) 입법예고중,"■ 제안이유 
  현행법은 경찰공무원의 연령정년에 대하여 경정 이상은 60세, 경감 이하는 57세를 기준으로 차별 적용하고 있는 바, 이는 헌법 제11조 ‘법 앞의 평등’, 제15조 ‘직업선택의 자유’, 제34조 ‘인간다운 생활을 할 권리’ 등 헌법이 보장하고자 하는 권리를 침해할 수 있음. 
  이에 정년 차별을 해소함으로써 위헌 소지를 없애고, 기본권 침해 논란을 불식시키는 동시에 경찰공무원의 사기 진작, 경찰조직의 공동체 복원, 노령 인구에 대한 취업 기회 확대 등을 도모하려는 것임.

■ 주요내용 
  경찰공무원의 연령정년을 동일하게 60세로 함(안 제24조제1항제1호)"
336,71,경찰,[1800112] 경찰법 일부개정법률안(오제세의원등 25인) 입법예고중,"제안이유
  지역경찰의 치안보조수단으로 주민의 자원봉사에 의하여 지역방범 활동을 위한 자율방범대를 설치·운영하고 있음. 지역 자율방범대의 운영에 필요한 기본 운영경비는 지방자치단체에서 지급하고 있으나 지극히 미흡한 실정임.
  지역 자율방범대가 지역사회의 치안공백을 방지하고 애향심과 긍지를 가지고 취약지역의 범죄예방 순찰, 청소년 선도·보호 등의 활동을 할 수 있도록 국가예산을 지원할 수 있는 근거를 마련하려는 것임.

주요내용
  가. 지방경찰청장은 관할 구역 안에 소관 경찰업무를 보조하게 하기 위하여 자율방범대를 둘 수 있도록 함(안 제26조 신설).
  나. 자율방범대원이 경찰업무를 보조하거나 이와 관련한 교육ㆍ훈련을 수행한 때에 특별시·광역시ㆍ도의 조례가 정하는 바에 따라 수당을 지급할 수 있도록 함(안 제28조제1항 신설). 
  다. 자율방범대원이 경찰업무를 보조하거나 이와 관련한 교육ㆍ훈련으로 인하여 질병에 걸리거나 부상을 입거나 사망한 때에는 시ㆍ도의 조례로 정하는 바에 따라 보상금을 지급하도록 함(안 제28조제2항 신설)."
337,72,행정,[1814616] 행정절차법 일부개정법률안(김영록의원 등 11인) 입법예고중,"제안이유 및 주요내용
  「대한민국과 미합중국 간의 자유무역협정 및 대한민국과 미합중국 간의 자유무역협정에 관한 서한교환」의 합의사항에 따라 법령의 입법예고기간을 ‘20일 이상’에서 ‘40일 이상’으로 확대 개정하였음.
  그러나 불평등 조약인 한미 FTA는 마땅히 폐기되어야 하기에 한미 FTA 이행을 위하여 부수적으로 개정된 법률 역시 원래의 내용으로 환원하여야 할 것임. 이에 법령 입법예고기간을 ‘20일 이상’으로 개정하려는 것임(안 제43조)."
338,73,행정,[1814085] 행정사법 일부개정법률안(박은수의원등 10인) 입법예고중,"제안이유
  종래 민법 상 한정치산·금치산 제도가 용어 자체로 차별적 의미가 있으며 장애 정도의 고려 없이 한정치산·금치산 선고만을 인정, 일률적으로 개인의 행위능력을 박탈 또는 제한한다는 비판이 있었음. 
  이에 지난 ‘11년 3월 민법개정안 국회 통과에 따라 판단능력이 불완전한 장애인과 노인을 위해 재산의 관리, 사회복지의 수혜, 기타 사회생활에 필요한 사무를 처리할 수 있는 성년후견제도가 도입되었음.
  이처럼 종전의 한정치산·금치산 제도가 폐지되었음에도 기존 법률에는 여전히 이 같은 용어들이 존재, 이를 일괄해 정비하려는 것임.


주요내용
  행정사의 결격사유에서 금치산자·한정치산자를 삭제함(안 제6조제1호 삭제)."
339,74,행정,[1813938] 신행정수도 후속대책을 위한 연기·공주지역 행정중심복합도시 건설을 위한 특별법 일부개정법률안(심대평의원 등 14인) 입법예고중,"■ 제안이유 

  현행법에 따르면 이주대책대상자는 단독주택용지, 블록형단독주택용지 또는 공동주택건설용지를 공급받아 조합을 구성하여 주택사업을 추진하고 있으나, 이주대책대상자주택조합은 ？민법？상 비법인사단으로 운영되어 주택사업을 조합 구성원 각각의 공동사업으로 보기 때문에 조합원 명의 변경 시 사업자 정정 신고를 수시로 하여야 하고 취득세ㆍ등록세 등의 세제 혜택을 받기 어려운 실정임.
  이에 이주대책대상자주택조합에 법인격을 부여하여 명의 변경 및 세제 혜택 등의 편의를 제공함으로써 이주대책대상자의 주거안정을 도모하려는 것임.



■ 주요내용 

가. 건설청장 또는 사업시행자는 이주대책대상자에 대하여 이주자택지의 공급, 이주정착금의 지급 등의 사항을 포함한 이주대책을 수립하여야 함(안 제54조의2 신설).
나. 이주대책대상자가 새로운 주택을 마련하기 위하여 법인격을 가지는 이주대책대상자주택조합을 설립할 수 있도록 함(안 제54조의3 및 제54조의4 신설)."
340,75,행정,[1813422] 지방행정체제 개편에 관한 특별법 일부개정법률안(장세환의원등 10인) 입법예고중,"■ 제안이유 및 주요내용 

  지난 2010년 10월 1일에 공포된 「지방행정체제 개편에 관한 특별법」은 인구 100만 이상 대도시의 장에게 지역개발채권 발행 등의 사무를 처리할 수 있도록 규정하고 있으나 이들 업무를 수행하는데 필요한 법령 적용상의 구체적인 특례 규정이 미비하여 대도시의 장이 권한과 책임의 주체로서 업무를 수행하는데 어려움 있음. 
  따라서 지역개발채권 발행 등의 사무 이양에 맞추어 대도시의 장이 이들 업무를 원활하게 수행할 수 있도록 법적 근거를 마련하려는 것임(안 제34조제2항부터 제6항까지)."
